Data;Hora;Estacao;Codigo;Poluente;Valor;Unidade;Tipo
03/01/2022;05:00:00;Suape;PE06;MP10;23;ug/m3;Automática
03/01/2022;05:00:00;Suape;PE06;MP2.5;9;ug/m3;Automática
03/01/2022;05:00:00;Suape;PE06;NO2;3.8;ug/m3;Automática
03/01/2022;05:00:00;Suape;PE06;SO2;9.19;ug/m3;Automática
03/01/2022;06:00:00;Suape;PE06;CO;0.2;ug/m3;Automática
03/01/2022;06:00:00;Suape;PE06;MP10;22;ug/m3;Automática
03/01/2022;06:00:00;Suape;PE06;MP2.5;11;ug/m3;Automática
03/01/2022;06:00:00;Suape;PE06;NO2;6.9;ug/m3;Automática
03/01/2022;06:00:00;Suape;PE06;SO2;9.4;ug/m3;Automática
03/01/2022;07:00:00;Suape;PE06;CO;0.2;ug/m3;Automática
03/01/2022;07:00:00;Suape;PE06;MP10;16;ug/m3;Automática
03/01/2022;07:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
03/01/2022;07:00:00;Suape;PE06;NO2;5.7;ug/m3;Automática
03/01/2022;07:00:00;Suape;PE06;SO2;8.9;ug/m3;Automática
03/01/2022;08:00:00;Suape;PE06;CO;0.1;ug/m3;Automática
03/01/2022;08:00:00;Suape;PE06;MP10;27;ug/m3;Automática
03/01/2022;08:00:00;Suape;PE06;MP2.5;12;ug/m3;Automática
03/01/2022;08:00:00;Suape;PE06;NO2;2.5;ug/m3;Automática
03/01/2022;08:00:00;Suape;PE06;SO2;10.1;ug/m3;Automática
03/01/2022;09:00:00;Suape;PE06;CO;0.1;ug/m3;Automática
03/01/2022;09:00:00;Suape;PE06;MP10;27;ug/m3;Automática
03/01/2022;09:00:00;Suape;PE06;MP2.5;13;ug/m3;Automática
03/01/2022;09:00:00;Suape;PE06;NO2;1.3;ug/m3;Automática
03/01/2022;09:00:00;Suape;PE06;SO2;11;ug/m3;Automática
03/01/2022;10:00:00;Suape;PE06;CO;0.1;ug/m3;Automática
03/01/2022;10:00:00;Suape;PE06;MP10;24;ug/m3;Automática
03/01/2022;10:00:00;Suape;PE06;MP2.5;12;ug/m3;Automática
03/01/2022;10:00:00;Suape;PE06;NO2;1;ug/m3;Automática
03/01/2022;10:00:00;Suape;PE06;SO2;9.69;ug/m3;Automática
03/01/2022;11:00:00;Suape;PE06;CO;0.2;ug/m3;Automática
03/01/2022;11:00:00;Suape;PE06;MP10;14;ug/m3;Automática
03/01/2022;11:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
03/01/2022;11:00:00;Suape;PE06;NO2;0.6;ug/m3;Automática
03/01/2022;11:00:00;Suape;PE06;SO2;6.8;ug/m3;Automática
03/01/2022;12:00:00;Suape;PE06;CO;0.2;ug/m3;Automática
03/01/2022;12:00:00;Suape;PE06;MP10;19;ug/m3;Automática
03/01/2022;12:00:00;Suape;PE06;MP2.5;12;ug/m3;Automática
03/01/2022;12:00:00;Suape;PE06;NO2;0.6;ug/m3;Automática
03/01/2022;12:00:00;Suape;PE06;SO2;6.8;ug/m3;Automática
03/01/2022;13:00:00;Suape;PE06;CO;0.2;ug/m3;Automática
03/01/2022;13:00:00;Suape;PE06;MP10;22;ug/m3;Automática
03/01/2022;13:00:00;Suape;PE06;MP2.5;9;ug/m3;Automática
03/01/2022;13:00:00;Suape;PE06;NO2;0.6;ug/m3;Automática
03/01/2022;13:00:00;Suape;PE06;SO2;6.8;ug/m3;Automática
03/01/2022;14:00:00;Suape;PE06;CO;0.2;ug/m3;Automática
03/01/2022;14:00:00;Suape;PE06;MP10;17;ug/m3;Automática
03/01/2022;14:00:00;Suape;PE06;NO2;0.6;ug/m3;Automática
03/01/2022;14:00:00;Suape;PE06;SO2;5;ug/m3;Automática
03/01/2022;15:00:00;Suape;PE06;CO;0.2;ug/m3;Automática
03/01/2022;15:00:00;Suape;PE06;MP10;21;ug/m3;Automática
03/01/2022;15:00:00;Suape;PE06;SO2;4;ug/m3;Automática
03/01/2022;16:00:00;Suape;PE06;CO;0.2;ug/m3;Automática
03/01/2022;16:00:00;Suape;PE06;MP10;24;ug/m3;Automática
03/01/2022;16:00:00;Suape;PE06;NO2;7.5;ug/m3;Automática
03/01/2022;16:00:00;Suape;PE06;SO2;5.4;ug/m3;Automática
03/01/2022;17:00:00;Suape;PE06;CO;0.2;ug/m3;Automática
03/01/2022;17:00:00;Suape;PE06;MP10;26;ug/m3;Automática
03/01/2022;17:00:00;Suape;PE06;SO2;5.3;ug/m3;Automática
03/01/2022;18:00:00;Suape;PE06;CO;0.2;ug/m3;Automática
03/01/2022;18:00:00;Suape;PE06;MP10;26;ug/m3;Automática
03/01/2022;18:00:00;Suape;PE06;MP2.5;21;ug/m3;Automática
03/01/2022;18:00:00;Suape;PE06;SO2;3.3;ug/m3;Automática
03/01/2022;19:00:00;Suape;PE06;CO;0.3;ug/m3;Automática
03/01/2022;19:00:00;Suape;PE06;NO2;1.9;ug/m3;Automática
03/01/2022;19:00:00;Suape;PE06;SO2;4;ug/m3;Automática
03/01/2022;20:00:00;Suape;PE06;CO;0.3;ug/m3;Automática
03/01/2022;20:00:00;Suape;PE06;MP10;26;ug/m3;Automática
03/01/2022;20:00:00;Suape;PE06;MP2.5;19;ug/m3;Automática
03/01/2022;20:00:00;Suape;PE06;NO2;1.8;ug/m3;Automática
03/01/2022;20:00:00;Suape;PE06;SO2;3.8;ug/m3;Automática
03/01/2022;21:00:00;Suape;PE06;CO;0.3;ug/m3;Automática
03/01/2022;21:00:00;Suape;PE06;MP10;29;ug/m3;Automática
03/01/2022;21:00:00;Suape;PE06;MP2.5;13;ug/m3;Automática
03/01/2022;21:00:00;Suape;PE06;NO2;1.6;ug/m3;Automática
03/01/2022;21:00:00;Suape;PE06;SO2;3.6;ug/m3;Automática
03/01/2022;22:00:00;Suape;PE06;CO;0.3;ug/m3;Automática
03/01/2022;22:00:00;Suape;PE06;MP10;29;ug/m3;Automática
03/01/2022;22:00:00;Suape;PE06;MP2.5;16;ug/m3;Automática
03/01/2022;22:00:00;Suape;PE06;NO2;2.2;ug/m3;Automática
03/01/2022;22:00:00;Suape;PE06;SO2;4.4;ug/m3;Automática
03/01/2022;23:00:00;Suape;PE06;CO;0.3;ug/m3;Automática
03/01/2022;23:00:00;Suape;PE06;MP10;27;ug/m3;Automática
03/01/2022;23:00:00;Suape;PE06;MP2.5;12;ug/m3;Automática
03/01/2022;23:00:00;Suape;PE06;NO2;1.8;ug/m3;Automática
03/01/2022;23:00:00;Suape;PE06;SO2;4.2;ug/m3;Automática
04/01/2022;00:00:00;Suape;PE06;CO;0.402;ug/m3;Automática
04/01/2022;00:00:00;Suape;PE06;MP10;12;ug/m3;Automática
04/01/2022;00:00:00;Suape;PE06;MP2.5;5;ug/m3;Automática
04/01/2022;00:00:00;Suape;PE06;NO2;3.79;ug/m3;Automática
04/01/2022;00:00:00;Suape;PE06;SO2;5.47;ug/m3;Automática
